"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"#","[STITCH_TYPE]","[X]","[Y]"
"*","STITCH","1.213927","6.500000"
"*","STITCH","3.499453","6.500000"
"*","STITCH","3.788447","6.250000"
"*","STITCH","1.498733","6.250000"
"*","STITCH","1.337405","6.250000"
"*","STITCH","1.464228","6.000000"
"*","STITCH","2.248733","6.000000"
"*","STITCH","4.150036","6.000000"
"*","STITCH","4.416854","5.750000"
"*","STITCH","2.998733","5.750000"
"*","STITCH","1.600038","5.750000"
"*","STITCH","1.742643","5.500000"
"*","STITCH","3.748733","5.500000"
"*","STITCH","4.632155","5.500000"
"*","STITCH","4.814576","5.250000"
"*","STITCH","4.498733","5.250000"
"*","STITCH","1.891264","5.250000"
"*","STITCH","2.050992","5.000000"
"*","STITCH","2.248733","5.000000"
"*","STITCH","4.963021","5.000000"
"*","STITCH","5.099600","4.750000"
"*","STITCH","2.998733","4.750000"
"*","STITCH","2.215426","4.750000"
"*","STITCH","2.391418","4.500000"
"*","STITCH","3.748733","4.500000"
"*","STITCH","5.212534","4.500000"
"*","STITCH","5.322586","4.250000"
"*","STITCH","4.498733","4.250000"
"*","STITCH","2.575714","4.250000"
"*","STITCH","2.766449","4.000000"
"*","STITCH","5.248733","4.000000"
"*","STITCH","5.452883","4.000000"
"*","STITCH","5.626017","3.750000"
"*","STITCH","2.998733","3.750000"
"*","STITCH","2.972754","3.750000"
"*","STITCH","3.187071","3.500000"
"*","STITCH","3.748733","3.500000"
"*","STITCH","5.850624","3.500000"
"*","STITCH","6.144208","3.250000"
"*","STITCH","4.498733","3.250000"
"*","STITCH","3.410243","3.250000"
"*","STITCH","3.650904","3.000000"
"*","STITCH","5.248733","3.000000"
"*","STITCH","6.563380","3.000000"
"*","STITCH","7.277586","2.750000"
"*","STITCH","5.998733","2.750000"
"*","STITCH","3.902987","2.750000"
"*","STITCH","4.167607","2.500000"
"*","STITCH","6.748733","2.500000"
"*","STITCH","9.611619","2.500000"
"*","STITCH","9.609796","2.750000"
"*","STITCH","9.306352","2.750000"
"*","STITCH","9.609796","2.750000"
"*","STITCH","9.613442","2.250000"
"*","STITCH","7.498733","2.250000"
"*","STITCH","4.498733","2.250000"
"*","STITCH","4.448030","2.250000"
"*","STITCH","4.749363","2.000000"
"*","STITCH","5.248733","2.000000"
"*","STITCH","8.248733","2.000000"
"*","STITCH","9.615266","2.000000"
"*","STITCH","9.617089","1.750000"
"*","STITCH","8.998733","1.750000"
"*","STITCH","5.998733","1.750000"
"*","STITCH","5.069072","1.750000"
"*","STITCH","5.410048","1.500000"
"*","STITCH","6.748733","1.500000"
"*","STITCH","9.618912","1.500000"
"*","STITCH","9.620736","1.250000"
"*","STITCH","7.498733","1.250000"
"*","STITCH","5.775927","1.250000"
"*","STITCH","6.171376","1.000000"
"*","STITCH","8.248733","1.000000"
"*","STITCH","9.622559","1.000000"
"*","STITCH","9.624382","0.750000"
"*","STITCH","8.998733","0.750000"
"*","STITCH","6.602502","0.750000"
"*","STITCH","7.077485","0.500000"
"*","STITCH","9.626206","0.500000"
"*","STITCH","9.603970","0.250000"
"*","STITCH","7.607566","0.250000"
"*","STITCH","8.208666","0.000000"
"*","STITCH","8.248733","0.000000"
"*","STITCH","9.480233","0.000000"
"*","STITCH","8.248733","0.000000"
"*","STITCH","8.208666","0.000000"
"*","STITCH","6.843427","0.619150"
"*","STITCH","5.560298","1.394250"
"*","STITCH","4.376437","2.313826"
"*","STITCH","3.307587","3.364844"
"*","STITCH","2.368198","4.532985"
"*","STITCH","1.571428","5.802665"
"*","STITCH","0.928906","7.156930"
"*","STITCH","0.450188","8.577373"
"*","STITCH","0.141953","10.044290"
"*","STITCH","0.007083","11.537219"
"*","STITCH","0.047872","13.035691"
"*","STITCH","0.257121","14.520070"
"*","STITCH","0.645861","15.967831"
"*","STITCH","1.198636","17.361129"
"*","STITCH","1.911374","18.679782"
"*","STITCH","2.774986","19.905000"
"*","STITCH","3.772361","21.024073"
"*","STITCH","4.896800","22.015428"
"*","STITCH","6.125783","22.873744"
"*","STITCH","7.449111","23.577870"
"*","STITCH","8.844843","24.124472"
"*","STITCH","10.275695","24.500000"
"*","STITCH","12.748733","24.500000"
"*","STITCH","15.322154","24.500000"
"*","END","15.322154","24.500000"
